Sequence,Order,Lect,Category,ipa
jt͡ɬʼ,2,Bezhta,Coda,t͡ɬʼ
lt͡ɬʼ,2,Bezhta,Coda,t͡ɬʼ
rt͡ɬʼ,2,Bezhta,Coda,t͡ɬʼ
mɬ,2,Bezhta,Coda,ɬ
nɬ,2,Bezhta,Coda,ɬ
wɬ,2,Bezhta,Coda,ɬ
jɬ,2,Bezhta,Coda,ɬ
lɬ,2,Bezhta,Coda,ɬ
rɬ,2,Bezhta,Coda,ɬ
mk,2,Bezhta,Coda,k
nk,2,Bezhta,Coda,k
wk,2,Bezhta,Coda,k
jk,2,Bezhta,Coda,k
lk,2,Bezhta,Coda,k
rk,2,Bezhta,Coda,k
mɡ,2,Bezhta,Coda,ɡ
nɡ,2,Bezhta,Coda,ɡ
wɡ,2,Bezhta,Coda,ɡ
jɡ,2,Bezhta,Coda,ɡ
lɡ,2,Bezhta,Coda,ɡ
rɡ,2,Bezhta,Coda,ɡ
mkʼ,2,Bezhta,Coda,kʼ
nkʼ,2,Bezhta,Coda,kʼ
wkʼ,2,Bezhta,Coda,kʼ
jkʼ,2,Bezhta,Coda,kʼ
lkʼ,2,Bezhta,Coda,kʼ
rkʼ,2,Bezhta,Coda,kʼ
mq,2,Bezhta,Coda,q
nq,2,Bezhta,Coda,q
wq,2,Bezhta,Coda,q
jq,2,Bezhta,Coda,q
lq,2,Bezhta,Coda,q
rq,2,Bezhta,Coda,q
mqʼ,2,Bezhta,Coda,qʼ
nqʼ,2,Bezhta,Coda,qʼ
wqʼ,2,Bezhta,Coda,qʼ
jqʼ,2,Bezhta,Coda,qʼ
lqʼ,2,Bezhta,Coda,qʼ
rqʼ,2,Bezhta,Coda,qʼ
mχ,2,Bezhta,Coda,χ
nχ,2,Bezhta,Coda,χ
wχ,2,Bezhta,Coda,χ
jχ,2,Bezhta,Coda,χ
lχ,2,Bezhta,Coda,χ
rχ,2,Bezhta,Coda,χ
mʁ,2,Bezhta,Coda,ʁ
nʁ,2,Bezhta,Coda,ʁ
wʁ,2,Bezhta,Coda,ʁ
jʁ,2,Bezhta,Coda,ʁ
lʁ,2,Bezhta,Coda,ʁ
rʁ,2,Bezhta,Coda,ʁ
mħ,2,Bezhta,Coda,ħ
nħ,2,Bezhta,Coda,ħ
wħ,2,Bezhta,Coda,ħ
jħ,2,Bezhta,Coda,ħ
lħ,2,Bezhta,Coda,ħ
rħ,2,Bezhta,Coda,ħ
mʕ,2,Bezhta,Coda,ʕ
nʕ,2,Bezhta,Coda,ʕ
wʕ,2,Bezhta,Coda,ʕ
jʕ,2,Bezhta,Coda,ʕ
lʕ,2,Bezhta,Coda,ʕ
rʕ,2,Bezhta,Coda,ʕ
mʔ,2,Bezhta,Coda,ʔ
nʔ,2,Bezhta,Coda,ʔ
wʔ,2,Bezhta,Coda,ʔ
jʔ,2,Bezhta,Coda,ʔ
lʔ,2,Bezhta,Coda,ʔ
rʔ,2,Bezhta,Coda,ʔ
mh,2,Bezhta,Coda,h
nh,2,Bezhta,Coda,h
wh,2,Bezhta,Coda,h
jh,2,Bezhta,Coda,h
lh,2,Bezhta,Coda,h
rh,2,Bezhta,Coda,h
mm,2,Bezhta,Coda,m
nm,2,Bezhta,Coda,m
wm,2,Bezhta,Coda,m
jm,2,Bezhta,Coda,m
lm,2,Bezhta,Coda,m
rm,2,Bezhta,Coda,m
mn,2,Bezhta,Coda,n
nn,2,Bezhta,Coda,n
wn,2,Bezhta,Coda,n
jn,2,Bezhta,Coda,n
ln,2,Bezhta,Coda,n
rn,2,Bezhta,Coda,n
mw,2,Bezhta,Coda,w
nw,2,Bezhta,Coda,w
ww,2,Bezhta,Coda,w
jw,2,Bezhta,Coda,w
lw,2,Bezhta,Coda,w
rw,2,Bezhta,Coda,w
mj,2,Bezhta,Coda,j
nj,2,Bezhta,Coda,j
wj,2,Bezhta,Coda,j
jj,2,Bezhta,Coda,j
lj,2,Bezhta,Coda,j
rj,2,Bezhta,Coda,j
ml,2,Bezhta,Coda,l
nl,2,Bezhta,Coda,l
wl,2,Bezhta,Coda,l
jl,2,Bezhta,Coda,l
ll,2,Bezhta,Coda,l
rl,2,Bezhta,Coda,l
mr,2,Bezhta,Coda,r
nr,2,Bezhta,Coda,r
wr,2,Bezhta,Coda,r
jr,2,Bezhta,Coda,r
lr,2,Bezhta,Coda,r
rr,2,Bezhta,Coda,r
pl,2,Central Chong,Onset,l
pʰl,2,Central Chong,Onset,l
tl,2,Central Chong,Onset,l
tʰl,2,Central Chong,Onset,l
cl,2,Central Chong,Onset,l
kl,2,Central Chong,Onset,l
kʰl,2,Central Chong,Onset,l
ml,2,Central Chong,Onset,l
sl,2,Central Chong,Onset,l
pɹ,2,Central Chong,Onset,ɹ
pʰɹ,2,Central Chong,Onset,ɹ
tɹ,2,Central Chong,Onset,ɹ
tʰɹ,2,Central Chong,Onset,ɹ
cɹ,2,Central Chong,Onset,ɹ
kɹ,2,Central Chong,Onset,ɹ
kʰɹ,2,Central Chong,Onset,ɹ
mɹ,2,Central Chong,Onset,ɹ
sɹ,2,Central Chong,Onset,ɹ
pl,2,Eastern Katu,Onset,l
cl,2,Eastern Katu,Onset,l
kl,2,Eastern Katu,Onset,l
sl,2,Eastern Katu,Onset,l
b̤l,2,Eastern Katu,Onset,l
d̤l,2,Eastern Katu,Onset,l
ɟ̤l,2,Eastern Katu,Onset,l
ɡ̤l,2,Eastern Katu,Onset,l
ml,2,Eastern Katu,Onset,l
pr,2,Eastern Katu,Onset,r
cr,2,Eastern Katu,Onset,r
kr,2,Eastern Katu,Onset,r
sr,2,Eastern Katu,Onset,r
b̤r,2,Eastern Katu,Onset,r
d̤r,2,Eastern Katu,Onset,r
ɟ̤r,2,Eastern Katu,Onset,r
ɡ̤r,2,Eastern Katu,Onset,r
mr,2,Eastern Katu,Onset,r
pw,2,Gurani,Onset,w
dw,2,Gurani,Onset,w
ɡw,2,Gurani,Onset,w
kw,2,Gurani,Onset,w
